Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Day_of_Week,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,2nd_Road_Number,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location,DateVals,TimeVals
200701FH10260,521860,180220,-0.24548,51.507726,3,2,1,2,11,E09000013,5,0,6,30,8,0,0,1,1,1,1,1,E01001243,884,1161
200701FH10261,522550,179070,-0.235942,51.497242,3,2,1,5,11,E09000013,4,408,6,30,3,0,0,1,1,1,1,1,E01001928,887,409
200701FH10262,523510,178610,-0.22228,51.492899,3,1,1,5,11,E09000013,3,315,6,30,3,219,5,1,1,1,1,1,E01001898,887,779
200701FH10263,523420,179760,-0.223174,51.503254,3,2,1,1,11,E09000013,3,402,2,30,7,219,5,4,1,1,1,1,E01001857,890,9
200701FH10264,524720,176250,-0.205692,51.471423,3,3,1,5,11,E09000013,3,308,6,30,3,0,0,1,1,1,1,1,E01001926,887,549
200701FH10265,524330,176260,-0.211301,51.471599,3,2,1,3,11,E09000013,3,219,6,30,1,304,0,1,1,1,1,2,E01001915,871,689
200701FH10267,524340,176190,-0.211182,51.470968,3,1,1,7,11,E09000013,3,219,6,30,0,0,0,1,1,1,1,1,E01001915,889,829
200701FH10268,524720,177720,-0.205174,51.484635,3,2,1,2,11,E09000013,6,0,6,30,0,0,0,1,1,1,1,1,E01001913,898,990
200701FH10269,522580,178410,-0.235739,51.491303,3,1,1,6,11,E09000013,3,4,3,40,0,0,0,4,2,2,1,1,E01001932,895,229
200701FH10270,523330,178580,-0.224882,51.492668,3,2,1,1,11,E09000013,3,219,2,30,3,315,0,4,1,1,1,2,E01001898,883,1274
200701FH10271,523540,178010,-0.222058,51.4875,3,2,1,6,11,E09000013,3,219,6,30,3,0,0,1,1,1,1,1,E01001891,888,865
200701FH10272,521940,179920,-0.244432,51.505013,3,2,2,3,11,E09000013,4,408,6,30,6,0,0,4,2,2,1,1,E01001861,864,1379
200701FH10273,522550,180860,-0.23532,51.513329,3,2,2,7,11,E09000013,5,0,6,30,3,0,0,4,1,1,1,1,E01001955,896,1334
200701FH10274,524870,177900,-0.202951,51.486219,3,2,1,6,11,E09000013,4,317,6,30,3,0,0,1,1,1,1,1,E01001909,888,1034
200701FH10275,523570,177810,-0.221696,51.485696,3,2,1,6,11,E09000013,6,0,6,30,0,0,0,1,1,1,1,1,E01001891,895,1099
200701FH10276,523480,179200,-0.222506,51.498208,3,2,1,2,11,E09000013,3,219,6,30,3,0,0,1,2,2,1,1,E01001856,870,934
200701FH10277,522060,179610,-0.242811,51.502201,3,2,1,6,11,E09000013,4,408,6,30,3,0,0,1,1,1,1,1,E01001860,895,819
200701FH10278,523710,177610,-0.219751,51.483868,3,2,1,6,11,E09000013,3,219,6,30,3,0,0,1,1,1,1,1,E01001891,895,1012
200701FH10279,524330,178180,-0.210626,51.488855,3,2,1,5,11,E09000013,6,0,6,30,3,0,0,1,1,1,1,1,E01001910,838,1060
200701FH10280,525090,176540,-0.200265,51.473948,3,2,1,3,11,E09000013,6,0,6,30,0,0,0,1,1,1,1,1,E01001925,899,1042
200701FH10281,522630,180090,-0.234436,51.506391,3,2,1,4,11,E09000013,3,4020,6,30,3,0,0,4,1,1,1,1,E01001862,900,1389
200701FH10283,523390,178720,-0.223969,51.493913,3,2,2,6,11,E09000013,3,219,6,30,8,0,0,1,1,1,1,1,E01001898,888,1109
200701FH10284,525050,177260,-0.200586,51.480428,3,2,1,1,11,E09000013,3,3219,6,30,0,0,0,1,1,1,1,1,E01001953,897,970
200701FH10285,523500,181080,-0.22156,51.515099,3,2,1,2,11,E09000013,3,40,1,30,1,3220,0,1,1,1,1,1,E01002877,849,944
200701FH10286,524820,176110,-0.204303,51.470143,3,2,1,5,11,E09000013,6,0,6,30,0,0,0,1,1,1,1,2,E01001916,894,1049
200701FH10287,521740,179680,-0.247395,51.502899,3,2,1,7,11,E09000013,6,0,6,30,8,0,0,1,2,2,1,2,E01001865,896,974
200701FH10288,523850,179870,-0.216943,51.504148,3,3,1,2,11,E09000013,3,402,1,30,1,3220,0,1,1,1,1,1,E01001852,891,793
200701FH10290,525150,177160,-0.199182,51.479507,3,1,1,4,11,E09000013,3,304,6,30,0,0,1,1,1,1,1,1,E01001953,900,774
200701FH10291,522790,180080,-0.232135,51.506267,3,2,1,7,11,E09000013,3,4020,6,30,3,0,0,1,1,1,1,2,E01001942,896,1219
200701FH10292,523310,179960,-0.224688,51.505075,3,1,1,1,11,E09000013,3,219,6,30,6,4020,5,1,2,2,1,1,E01001943,876,1259
200701FH10297,525980,177170,-0.187233,51.479413,3,2,1,6,11,E09000013,3,308,6,30,3,0,0,1,1,1,1,1,E01001920,888,909
200701FH10298,523630,177130,-0.22107,51.479571,3,2,1,7,11,E09000013,6,0,6,30,6,0,0,1,1,1,1,2,E01001917,896,449
200701FH10299,523670,177790,-0.220263,51.485494,3,2,1,5,11,E09000013,3,219,6,30,3,0,0,1,1,1,1,1,E01001891,908,834
200701FH10300,525070,176380,-0.20061,51.472514,3,2,1,2,11,E09000013,3,308,6,30,3,0,0,1,2,2,1,1,E01001925,912,867
200701FH10302,525620,176840,-0.192531,51.476527,3,2,1,4,11,E09000013,3,308,6,30,0,0,0,1,1,2,1,1,E01001922,907,1084
200701FH10303,523480,179610,-0.222362,51.501893,3,2,1,5,11,E09000013,3,219,6,30,6,0,0,1,1,1,1,1,E01001857,901,1019
200701FH10304,522000,179820,-0.243602,51.504101,3,2,1,2,11,E09000013,4,408,6,30,3,0,1,1,2,2,1,2,E01001860,912,659
200701FH10305,523440,179690,-0.22291,51.50262,3,2,1,5,11,E09000013,3,219,6,30,0,0,0,4,2,2,1,2,E01001857,908,1364
200701FH10306,522240,178640,-0.240554,51.493444,3,1,1,3,11,E09000013,3,315,6,30,0,0,0,4,1,1,1,1,E01001932,906,1424
200701FH10307,523970,177530,-0.216036,51.483092,2,1,1,2,11,E09000013,3,3218,6,30,3,0,1,1,1,1,1,1,E01001886,905,1109
200701FH10308,522870,179550,-0.231167,51.501486,3,2,1,5,11,E09000013,3,402,3,30,3,0,0,1,1,1,1,1,E01001895,908,867
200701FH10309,522220,180090,-0.24034,51.50648,3,1,1,2,11,E09000013,3,4020,6,30,0,0,4,1,2,2,1,1,E01001860,912,959
200701FH10310,523090,181270,-0.227399,51.516896,3,2,1,5,11,E09000013,5,0,6,30,3,219,0,1,1,1,1,1,E01001874,908,638
200701FH10311,525030,176800,-0.201037,51.476298,2,1,1,6,11,E09000013,5,0,6,30,0,0,0,1,1,1,1,1,E01001950,909,994
200701FH10313,525000,176880,-0.20144,51.477024,3,1,1,6,11,E09000013,5,0,6,30,0,0,0,1,1,1,1,1,E01001950,902,497
200701FH10314,523370,179770,-0.22389,51.503355,3,2,1,4,11,E09000013,3,219,2,30,7,402,0,1,1,1,1,2,E01001941,907,517
200701FH10315,525530,176750,-0.193859,51.475738,3,2,1,2,11,E09000013,3,308,6,30,0,0,0,1,2,2,1,1,E01001922,912,1077
200701FH10316,523360,178610,-0.22444,51.492931,3,2,1,2,11,E09000013,3,219,1,30,1,315,0,1,1,1,1,1,E01001898,905,499
200701FH10317,523300,180590,-0.224612,51.510739,3,2,1,2,11,E09000013,3,219,6,30,0,0,0,4,2,2,1,1,E01001943,877,89
200701FH10319,525170,177190,-0.198884,51.479772,3,1,1,6,11,E09000013,3,304,6,30,3,317,0,1,1,1,1,1,E01001953,902,539
200701FH10321,525760,176950,-0.190477,51.477484,3,2,1,6,11,E09000013,3,308,6,30,3,0,0,1,1,1,1,2,E01001923,881,674
200701FH10322,524400,175990,-0.210389,51.469157,3,2,1,1,11,E09000013,3,308,6,30,3,219,5,1,2,2,1,2,E01001915,911,839
200701FH10323,524760,177700,-0.204605,51.484446,3,1,2,6,11,E09000013,3,3218,6,30,0,0,1,1,1,1,1,1,E01001885,867,694
200701FH10324,524800,177240,-0.204192,51.480303,3,1,1,2,11,E09000013,3,3219,6,30,0,0,0,1,1,1,1,1,E01001882,898,1219
200701FH10326,523310,179960,-0.224688,51.505075,3,1,1,2,11,E09000013,3,4020,6,30,6,219,5,4,1,1,1,1,E01001943,919,1355
200701FH10327,522710,180090,-0.233284,51.506374,3,1,1,3,11,E09000013,3,4020,6,30,3,0,0,4,2,2,1,1,E01001942,913,1159
200701FH10328,522390,178390,-0.238481,51.491165,3,1,1,2,11,E09000013,3,4,3,40,3,0,0,1,2,2,1,1,E01001932,912,1064
200701FH10329,522920,180060,-0.23027,51.506059,3,2,1,7,11,E09000013,3,4020,6,30,0,0,0,1,1,1,1,1,E01001942,903,887
200701FH10330,523230,178470,-0.22636,51.491701,3,2,1,4,11,E09000013,3,306,3,30,0,0,0,1,2,2,1,1,E01001898,907,1029
